danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,brightness,label,,
62,24,1,0,0,12,0,0,1,133.7910975,danbai,,
34,10,3,1,0,52,0,0,0,139.8908518,danbai,,
95,1,1,0,0,0,3,0,0,181.3189829,danbai,,
73,16,7,0,0,2,2,0,0,148.13785,danbai,,
0,2,7,0,0,0,91,0,0,116.6570379,danbai,,
52,33,15,0,0,0,0,0,0,147.2838204,danbai,,
76,17,3,0,0,0,0,0,5,169.4178242,danbai,,
9,34,27,4,0,6,21,0,0,107.7332528,danbai,,
87,11,0,0,0,2,0,0,0,168.4591783,danbai,,
13,66,17,2,0,1,0,0,0,200.2501746,danbai,,
99,0,0,0,0,0,0,0,1,155.1665265,danbai,,
91,9,0,0,0,0,0,0,0,161.1899771,danbai,,
76,16,0,0,0,7,0,0,0,122.1343954,danbai,,
77,8,0,0,0,14,0,0,1,144.9418425,danbai,,
51,45,2,2,0,0,0,0,0,204.1526831,danbai,,
84,14,0,0,0,3,0,0,0,149.8450423,danbai,,
26,36,13,0,0,25,0,0,0,136.8494533,danbai,,
69,30,0,0,0,0,0,0,0,166.9743515,danbai,,
64,23,0,0,0,12,0,0,0,111.7758921,danbai,,
49,41,10,0,0,0,0,0,0,183.3824249,danbai,,
58,32,6,0,0,4,0,0,0,167.5586532,danbai,,
69,22,0,0,0,0,0,0,9,130.1812509,danbai,,
43,21,20,2,0,6,9,0,0,109.3544429,danbai,,
65,26,6,0,0,3,0,0,0,175.7194395,danbai,,
85,6,0,0,0,9,0,0,0,142.4166747,danbai,,
54,33,5,0,0,7,1,0,0,121.9520371,danbai,,
0,3,29,1,0,0,67,0,0,196.7770645,danbai,,
82,9,0,0,0,5,0,0,3,142.5607131,danzi,,
61,13,0,0,0,1,0,0,24,169.2088706,danzi,,
84,15,0,0,0,1,0,0,0,153.5202408,danzi,,
94,3,0,0,0,1,0,0,1,148.3578544,danzi,,
98,2,0,0,0,0,1,0,0,164.1988319,danzi,,
41,43,7,0,0,3,0,0,6,127.609111,danzi,,
21,72,7,0,0,0,0,0,0,146.2185203,danzi,,
63,36,0,0,0,1,0,0,1,145.6729881,danzi,,
50,14,0,0,0,8,0,0,28,140.2047069,danzi,,
74,15,1,0,0,10,0,0,0,127.4138632,danzi,,
70,7,0,0,0,8,0,0,15,123.5071502,danzi,,
57,34,3,0,0,7,0,0,0,117.29123,danzi,,
92,6,0,0,0,0,0,0,2,141.1639423,danzi,,
84,13,0,0,0,2,0,0,0,123.5302592,danzi,,
100,0,0,0,0,0,0,0,0,140.9723291,danzi,,
92,8,0,0,0,0,0,0,0,138.0097365,danzi,,
74,12,0,0,0,14,0,0,0,134.4784224,danzi,,
62,7,0,0,0,2,0,0,28,119.7578109,danzi,,
48,4,0,0,0,42,0,0,6,109.2378815,danzi,,
100,0,0,0,0,0,0,0,0,142.3892309,danzi,,
52,27,20,1,0,0,0,0,0,129.2871867,danzi,,
20,31,6,0,0,1,0,9,33,163.6128731,danzi,,
74,19,0,0,0,5,0,0,2,141.1255999,danzi,,
75,9,0,0,0,0,0,0,16,148.1715907,danzi,,
63,33,1,0,0,0,0,0,3,141.8273011,danzi,,
10,47,16,3,0,4,0,5,15,154.1846731,danzi,,
85,13,0,0,0,2,0,0,0,106.9196689,danzi,,
25,50,24,0,0,1,0,0,0,126.0548328,danzi,,
1,32,20,0,0,2,0,34,11,143.9504892,danzi,,
84,11,2,0,0,3,0,0,0,147.7307095,danzi,,
50,6,0,0,0,10,0,0,34,119.6872649,danzi,,
16,65,18,1,0,1,0,0,0,147.6520543,danzi,,
15,68,13,0,0,1,0,0,3,141.5895037,danzi,,
11,73,15,1,0,0,0,0,0,149.9408659,danzi,,
51,4,0,0,0,10,0,0,34,103.5076128,danzi,,
40,50,6,0,0,3,0,0,0,134.8636619,danzi,,
57,15,1,0,0,13,0,0,14,140.2696447,danzi,,
55,40,1,0,0,2,0,0,1,136.4153459,danzi,,
67,29,1,0,0,3,0,0,0,105.1606155,danzi,,
87,12,0,0,0,1,0,0,0,162.1264841,danzi,,
25,62,12,1,0,0,0,0,1,153.0142537,danzi,,
36,46,6,0,0,1,0,0,11,171.6440155,danzi,,
94,4,0,0,0,0,0,0,2,149.1758841,danzi,,
64,27,0,0,0,0,0,0,8,178.6069801,danzi,,
70,25,1,0,0,4,0,0,0,180.2203934,danzi,,
47,48,2,0,0,0,0,0,3,122.1739213,danzi,,
46,42,12,0,0,0,0,0,0,139.8944584,danzi,,
51,18,3,0,0,2,0,0,26,167.536239,danzi,,
75,1,0,0,0,18,0,0,5,121.3605985,danzi,,
30,44,13,0,0,6,6,0,0,135.2325847,danzi,,
47,23,7,0,0,2,0,0,20,190.6374362,danzi,,
38,1,0,0,0,1,0,0,60,167.4708707,danzi,,
1,11,10,0,0,14,0,42,23,132.9198702,danzi,,
48,31,13,0,0,7,1,0,0,149.1070918,danzi,,
45,26,22,0,0,6,0,0,0,130.4107211,danzi,,
96,0,0,0,0,3,0,0,0,144.1956854,danzi,,
31,50,1,0,0,4,0,1,13,132.1372877,danzi,,
80,16,0,0,0,4,0,0,0,151.1039683,danzi,,
80,3,0,0,0,0,0,0,17,141.0562716,danzi,,
51,39,1,0,0,0,0,0,8,171.0179119,danzi,,
82,10,1,0,0,5,1,0,2,163.7472599,danzi,,
33,21,2,0,0,18,0,0,26,107.4927592,danzi,,
57,32,2,0,0,5,0,0,5,153.8140067,danzi,,
76,16,0,0,0,7,0,0,0,122.1343954,danzi,,
71,25,2,0,0,2,0,0,0,162.6194876,danzi,,
66,22,0,0,0,2,0,0,11,179.5910888,danzi,,
62,7,0,0,0,2,0,0,28,119.7578109,danzi,,
19,12,0,0,0,0,0,23,46,153.505591,danzi,,
0,15,35,2,0,0,0,43,4,166.7486028,danhong,,
0,0,7,20,0,0,73,0,0,162.7373929,danhong,,
66,19,2,0,0,3,0,0,10,153.2133396,danhong,,
0,0,0,0,0,0,99,0,0,177.1937867,danhong,,
12,35,24,25,0,4,1,0,0,154.2575251,danhong,,
0,0,9,4,0,0,87,0,0,123.2114912,danhong,,
20,32,28,8,0,12,0,0,0,106.6135466,danhong,,
40,55,4,0,0,0,1,0,0,155.7300796,danhong,,
51,24,17,6,0,2,0,0,0,167.6797938,danhong,,
1,40,47,9,0,3,0,0,0,168.7365374,danhong,,
38,37,7,0,0,14,0,0,3,139.8024637,danhong,,
25,52,15,5,0,0,2,0,0,180.501338,danhong,,
0,5,41,35,0,1,18,0,0,144.8079299,danhong,,
36,61,3,0,0,0,0,0,0,185.7358676,danhong,,
0,0,14,20,0,0,66,0,0,167.7335201,danhong,,
0,41,39,7,0,0,13,0,0,175.0056017,danhong,,
0,20,51,1,0,0,28,0,0,188.5720256,danhong,,
72,25,1,0,0,1,2,0,0,150.1867345,danhong,,
40,33,19,0,0,5,2,0,0,168.591734,danhong,,
0,0,26,19,0,0,55,0,0,167.029225,danhong,,
1,19,44,20,0,1,15,0,0,144.9859427,danhong,,
0,3,54,32,0,3,8,0,0,124.7189626,danhong,,
0,14,60,11,0,1,15,0,0,169.0456947,danhong,,
0,0,0,0,0,0,99,0,0,161.9187191,danhong,,
0,0,45,8,0,0,47,0,0,166.1520183,danhong,,
0,0,27,39,0,0,34,0,0,144.9815625,danhong,,
41,44,6,0,0,0,0,0,8,150.7444346,danhong,,
32,44,9,1,0,1,0,0,12,171.0790871,danhong,,
8,57,29,3,0,3,0,0,0,159.42003,danhong,,
18,33,13,3,0,31,0,0,2,108.7063927,danhong,,
95,4,0,0,0,0,0,0,0,146.2450474,danhong,,
0,0,8,1,0,0,91,0,0,178.7918598,danhong,,
36,42,18,4,0,1,0,0,0,158.6589844,danhong,,
55,24,4,1,0,17,0,0,0,135.7741921,danhong,,
0,0,12,1,0,0,87,0,0,172.5735528,danhong,,
